name,hashedname,DevEUI
GSCHB.0.076 - School HOGENT,4e5fe3c792efe44e03c87ac633ba483c63453428216358a5214200368e55607b,A81758FFFE056D68
GSCHB.0.078 - School HOGENT,1a8300b8e2c1480c6f849c09aa7acc73baed7d28a824b82e6d4bb312333651f0,A81758FFFE056D69
GSCHB.1.007 - School HOGENT,306b0d6f4d7ecb6cd48b7d877b8309b7e55b43f40c3ce4203ceffaae415c8494,A81758FFFE056D6A
GSCHB.1.008 - School HOGENT,45dcbe32f16fd3fc410b40a7e32ab648739ac5671176ad0dd4c7a3a2a4c458a7,A81758FFFE056D6B
GSCHB.1.011 - School HOGENT,6d6cbb687db5fd475c57e6825e1660f0d3edd555fed3b369756a3e45859ca499,A81758FFFE056D6C
GSCHB.1.012 - School HOGENT,68bbc1e63eceddd502d42da2622dc290935add73c8a250b115da3b881ba689a6,A81758FFFE056D6D
GSCHB.1.013 - School HOGENT,fbcefd878cc6a2007476bee54667c85eccb597477f3800e1df6b4fb5baa05361,A81758FFFE056D6E
GSCHB.1.014 - School HOGENT,8e898ca9fbde63c29d25fb37d8128d137f2806f6e73da27c98bbe7dbffef789a,A81758FFFE056D6F
GSCHB.1.026 - School HOGENT,b8004bde67a16c938f5ad35e92df5c26d53460229008b63b94598f74b35968e8,A81758FFFE056D70
GSCHB.1.029 - School HOGENT,7f22fc6b7a835032a7d22d238a16e520a0718861f6b69dd03752d7a443193a22,A81758FFFE056D71
GMRCG.3.007 - School HOGENT,8f13946f78bf32894c02062928d5c3dbbe5296e96c5045e6db52e774e97212e2,A81758FFFE056D72
GMRCG.3.006 - School HOGENT,c726c3495b18b1fa314eebefa0cd1f7819c58d0c026bfe102b18b0a56957991a,A81758FFFE056D73
GMRCG.3.005 - School HOGENT,005686bf282f1b1328ca1452acd290b5c716d238b7b9a7968e456190a5cafcf2,A81758FFFE056D74
GMRCG.3.004 - School HOGENT,fdb14446e57bfc35e6ebd9222ddb6f574823edb48bae6f564f2e2edd9a827479,A81758FFFE056D75
GMRCG.2.018 - School HOGENT,e798af78df3ed41f482b2c1af3d95deb062a08bf5ed83cc10059319dc2813495,A81758FFFE056D76
GMRCG.2.017 - School HOGENT,8da490379d88c7e56895f89e2ee88c6f1ea17d981e0627c37664c28a0650c9db,A81758FFFE056D77
GMRCG.2.016 - School HOGENT,1cd4c45c7404bb107be4e759002e6fa1372ee7c839c4fac579d767b946bc47a4,A81758FFFE056D78
GMRCG.2.015 - School HOGENT,b056c53e08213c38ff455bae6835c636bbfc956671103e8a2bdd4997fcdf5bd4,A81758FFFE056D79
GMRCG.2.014 - School HOGENT,6c831e667ccca337ebe333d939e1dcff585e2432963dc65c38a845b3ee7a79d9,A81758FFFE056D7A
GMRCG.2.013 - School HOGENT,5396a8c64f8784a7a020961bc4251973a9914eff40159c9d72b3164acaaaa4fc,A81758FFFE056D7B
GMRCG.2.012 - School HOGENT,e8ac4ebc525d754f2f43b7776a6312e519697aeb755406daef8053c67cf5fc97,A81758FFFE056D7C
GMRCG.2.011 - School HOGENT,ae02e195716d0849a821449a71ae4d554a41af1d27cf97c7ee58170cba136492,A81758FFFE056D7D
GMRCG.2.010 - School HOGENT,6b164c6885c44105b1758b30e64a1d60c43eb3dcfb67d684d89f435b78389cd6,A81758FFFE056D7E
GMRCG.2.009 - School HOGENT,7880b71a555bbb25d00aab81a9e49b677e0f71753ad604c23edbd92b0d7f4591,A81758FFFE056D7F
GMRCG.2.008 - School HOGENT,dafbe0bbbce77497ef8b3833815032c02ad1252595e3ad78450bb21bab376119,A81758FFFE056D80
GMRCG.2.007 - School HOGENT,1db029313ac7ef1b607681a59f55da9daa93c307ff3e852d21f3d0f78fb3388a,A81758FFFE056D81
GMRCG.2.006 - School HOGENT,85dcf2a5c4933985bc4641d8bc64749f5eedf2c03ceb8b418505482cfb9f30bf,A81758FFFE056D82
GMRCG.2.005 - School HOGENT,27c108d80772208aecc9d7dbcfc31943ec8c436062a8be0c60afbb6f49979302,A81758FFFE056D83
GMRCG.0.015 - School HOGENT,bef26f22d22e1c065b92403fa7db87050695b0a7373cffc2bfcb274bbd3b6f16,A81758FFFE056D84
GMRCG.0.014 - School HOGENT,7c34cfd28bd80e08588afe4a99ead8aa06e5100a36d084303f04c47b9e51f863,A81758FFFE056D85
GSCHB.3.028 - School HOGENT,1141bbd9c72cde3aeb780e4f03380acada3f33c4219f9f92ddc90dd00857187f,A81758FFFE056D86
GSCHB.3.029 - School HOGENT,ded8dc3b771f328dd0f9baa77af1075c4369cf98b98af6cb49b8272748c229aa,A81758FFFE056D87
GSCHB.3.032 - School HOGENT,eca9df7ec55140016fae53d010494251d521af678ef9b6e1febb55cd6f47732f,A81758FFFE056D88
GSCHB.3.035 - School HOGENT,2c1b7ff6249ce5c465ea395e2e66908faa00c78b879ae9cf0a04a1c9b7029911,A81758FFFE056D89
GSCHB.3.036 - School HOGENT,e7eb3a729fe063e1037582b5b802f16f39ebc4c0483906853fd3492c02beb2c1,A81758FFFE056D8A
GSCHB.3.037 - School HOGENT,445f7125c61b0890bc7c84a5a3ccc3c524d5fbe9d74ab15c7d11761bc2aa9a11,A81758FFFE056D8B
GSCHB.3.038 - School HOGENT,8cf6d39475547f84d968e00361a00286ccf12e5fae4c9db8ce6b916d56e706b7,A81758FFFE056D8C
GSCHB.4.005 - School HOGENT,2547c473670e2b562fad194f49c7471c1ff0551d0e93feaeb7231917b4515622,A81758FFFE056D8D
GSCHB.4.006 - School HOGENT,1e8a8baa97da179163e430f33ea9e5b2c0df5bc7bc06c96191b5e87833fa8f51,A81758FFFE056D8E
GSCHB.4.007 - School HOGENT,df37f95f8e4dca0caf67398adf75f00c7b116400b87450489f7c8d179889037c,A81758FFFE056D8F
GMRCG.3.008 - School HOGENT,2a610b639dd6b1451abf6e42c396fa348e0c565c79d2e22f3d24760aacfa64e2,A81758FFFE056D90
GMRCG.3.009 - School HOGENT,67651b2a7d1a9c70a14ecdb18320a4251734b36ce1ebcd966adb559f2d1683a4,A81758FFFE056D91
GMRCG.3.011 - School HOGENT,b9221ba985bdfb05ce904345bc3310c90e627753ba06b4cf63451f1e167e2be8,A81758FFFE056D92
GMRCG.3.013 - School HOGENT,058bcf266add3cef6462b9290ff1a4f4e91c50b2bf807d7bdc3dc1c6fcaa2aab,A81758FFFE056D93
GMRCG.3.014 - School HOGENT,fc7470a3b8c3302817bdab07a256c97f3bd0d1a1bba2a125e5afde855570aea9,A81758FFFE056D94
GMRCG.3.015 - School HOGENT,63c89eaacd0fba3c5c9c1eaa0e2903ee6f1d32efd1ac5bfe1ea866882bc42b3d,A81758FFFE056D95
GMRCG.3.016 - School HOGENT,96f8f959bbedc5cc64c0bf5339278e8e6b744f6799c5e5fc4a92f510cdc415ce,A81758FFFE056D96
GMRCG.3.017 - School HOGENT,6e1f460e2d4f9d3f94b99a759867de80ca1c99027d01d7b0428784fe038b5949,A81758FFFE056D97
GMRCG.3.018 - School HOGENT,bfd88d8d3396d81acb0e3bbc05392e469a2ec76da56de7c0bfba3057718b852b,A81758FFFE056D98
GMRCG.4.005 - School HOGENT,e501e73817f4d298d43850c1c721185cabbd742f213c364a3dbbce88f8c38039,A81758FFFE056D99
GSCHB.4.027 - School HOGENT,0bbc66cb3e877c18d66d85b09afb085f3b86541b91a59ffa63e0515e66d62f6a,A81758FFFE056D9A
GSCHB.4.029 - School HOGENT,a0053185d5d754bd187cf9bac9af36c5537c503d511e1efce528a1cfd1617371,A81758FFFE056D9B
GSCHB.4.036 - School HOGENT,057c64d6de42de04b7f6e9790f53608696ef321749cbd16876a1c4d1f12fffb4,A81758FFFE056D9C
GSCHB.4.032 - School HOGENT,955d93f1a800d94d41f2a702678076bad6d0514058a02acc3756a9e40f56daaa,A81758FFFE056D9D
GSCHB.4.037 - School HOGENT,5201731f632701e602d31f98be7297e088a94eb38736c452495f02e444d4ba2d,A81758FFFE056D9E
GSCHB.4.039 - School HOGENT,d387cc88ee3f62316573d42df22dcca3442916083e05a5db345f25e572d69e29,A81758FFFE056D9F
GSCHB.4.041 - School HOGENT,63339135cce35e5bb240a7fa28b5c1124338f2edbee272fd0a53261b390cb30b,A81758FFFE056DA0
GSCHB.4.042 - School HOGENT,d39c8ad816d80bda96b31b9aebf851c676db8ae1f38794c2da7abab9eed3f66d,A81758FFFE056DA1
GSCHB.1.038 - School HOGENT,ee4f4510bd11fefc054c0f80856e8e5cfe9f6b51da13af52a8dd91dd004d5a76,A81758FFFE056DA2
GSCHB.3.039 - School HOGENT,40a3dd3b05ed7d5c4f54a69921464725b7e7bfdfcfe517d1e174db19cce99b2c,A81758FFFE056DA3
GSCHB.1.031 - School HOGENT,b593ea90690686be6e7afbda61347c099f9961ca9dc992872e1570fe5b4eb1c1,A81758FFFE056DA4
GSCHB.1.036 - School HOGENT,114b5b8e2e6170de1e0fb308d0b0d2e36d98549f80291bf01358678da5043c6f,A81758FFFE056DA5
GSCHB.1.037 - School HOGENT,094e5faffa9f110beacb3cb34fdf5ccc89e0013e403a19db6c03ba4c7b2ef83f,A81758FFFE056DA6
GSCHB.2.005 - School HOGENT,8b39023b96792806ff039cbca6e0f1a7e7cb3945cfeb28674169cdfb343a8c95,A81758FFFE056DA7
GSCHB.2.006 - School HOGENT,458bea331f6bf1881af95148af69c039504e3b8c85f197b00b7286308cfd843a,A81758FFFE056DA8
GSCHB.2.007 - School HOGENT,63a434bc51527cd716ad8e77c11eb7d20947f0134a83508c22a15317dce89489,A81758FFFE056DA9
GSCHB.2.008 - School HOGENT,3e6641185b5fed38d21328a38cc26d4c524722d6e1df1054dd109f1e8be6f1b6,A81758FFFE056DAA
GSCHB.2.009 - School HOGENT,ba5a98d5d3c1b5c454b3c62c630b4838f39f1ffff36c62283b8c2b3197aa576a,A81758FFFE056DAB
GSCHB.2.010 - School HOGENT,322f171a7c391b3f2d22ff04c72855c774b8045d5cb19e2981d9dd90dacea625,A81758FFFE056DAC
GSCHB.2.011 - School HOGENT,ff62ac188200bf69bde02bb5deaa2b54f295211d441456ccfb0ceb665cabbd4d,A81758FFFE056DAD
